Artigo,Entregue,D,V,P.Unit,Soma
Calca Martha,4,,,5.1,
Calca Paquita,3,,,4.95,
Calcola Sedir,4,,,4.65,
Callesson Noemi,3,,,5.7,
Calça Veronica,3,,,4.75,
Calçola Justine,3,,,2.9,
Calçola Vilma,3,,,4.65,
Calçolinha Inf. Grazi,4,,,3.1,
Camisola Lotus,1,,,13.5,
Conjunto Fio Serena,2,,,14.2,
Conjunto Paulina,2,,,16.3,
Conjunto Renda Francesa,2,,,8.8,
Cueca Box Celso,2,,,4.7,
Cueca Box Inf. Rafael,4,,,2.95,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,2,,,12.2,
Soutien Bojo Yara,2,,,9.3,
Soutien Ref Maravilha,2,,,8.35,
Tanga Cos Duplo,3,,,6.3,
Tanga Cos Neria,3,,,5.45,
Tanga Fio Jennifer,3,,,3.7,
Tanga Fio Soraia,4,,,3.2,
Tanga Nanda,4,,,3.95,
Tanga Renda Hilary,4,,,4.6,
Tanga Saionara,4,,,4.0,
Tanga Tamares,4,,,3.2,
Top Rose,2,,,10.1,
