Artigo,Entregue,D,V,P.Unit,Soma
Calesson Débora,3,,,4.2,
Callesson Julia,4,,,4.8,
Callesson Vilary,4,,,4.8,
Conjunto Renda Francesa,1,,,8.8,
Cueca Box Francisco,1,,,4.95,
Cueca Box Gael,1,,,5.3,
Cueca Box Martim,3,,,6.85,
Cueca Box Yago,2,,,5.35,
Cueca Box Yuri,1,,,4.7,
Tanga Fio Cinthia,3,,,4.65,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Duplo Luz,3,,,5.1,
Tanga Fio Gaby,4,,,3.3,
Tanga Fio Jennifer,2,,,3.7,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Jamila,4,,,4.4,
Tanga Lotus,3,,,3.55,
Tanga Saionara,3,,,4.0,
Tanga Taieny,4,,,3.7,
