Artigo,Entregue,D,V,P.Unit,Soma
Calcolinha Inf. Sarah,3,,,2.15,
Callesson Sofia,3,,,4.2,
Calça Adrineia,4,,,5.2,
Calça Cema,2,,,5.7,
Calça Veronica,3,,,4.75,
Calçola Edineia,2,,,5.2,
Calçola Joelma,3,,,5.2,
Camisola Alice,1,,,14.9,
Camisola Martina,1,,,13.25,
Conjunto Laiza,2,,,18.95,
Conjunto Luara,2,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto Renda Francesa,2,,,8.8,
Cueca Box Inf. Matheus,3,,,3.25,
Cueca Box Martim,2,,,6.85,
Samba Cançao Toni,1,,,8.45,
Samba Canção Augusto,1,,,7.2,
Short Dool Flora,1,,,10.9,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref Maravilha,2,,,8.35,
Soutien Top Renda,2,,,7.85,
Tanga Cos Mariah,2,,,5.5,
Tanga Fio Duplo Luz,3,,,5.1,
Tanga Fio Pitty,3,,,3.95,
Tanga Fio Ticia,4,,,2.9,
Tanga Jade,4,,,3.2,
Tanga Soninha Cotton,3,,,5.2,
Tanga Yasmim,4,,,3.85,
