Artigo,Entregue,D,V,P.Unit,Soma
Body Tasha,2,,,12.3,
Calcola Monara,3,,,4.0,
Calesson Débora,3,,,4.2,
Callesson Sofia,3,,,4.2,
Calça Cema,3,,,5.7,
Calçola Joelma,3,,,5.2,
Camisola Martina,2,,,13.25,
Conj. M. Moça Ciganinha,1,,,3.4,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Bia,3,,,10.8,
Conjunto Meia Taca Samira,2,,,15.95,
Conjunto Nadia,2,,,15.4,
Conjunto Paulina,2,,,16.3,
Cueca Box Danton,3,,,5.5,
Cueca Box Inf. Matheus,4,,,3.25,
Samba Cançao Toni,2,,,8.45,
Short Dool Melina,2,,,13.4,
Soutien Ref Cida,3,,,8.85,
Soutien Soft Julia,2,,,10.7,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Duplo Luz,3,,,5.1,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Ticia,3,,,2.9,
Tanga Jamila,6,,,4.4,
Tanga Lotus,3,,,3.55,
Tanga Moliny,3,,,4.6,
Tanga Yasmim,4,,,3.85,
Top Rose,2,,,10.1,
