Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,1,,,11.5,
Body Anitta,1,,,12.3,
Calca Cinta Renda,4,,,7.5,
Calca Martha,3,,,5.1,
Calcola Sedir,4,,,4.65,
Calesson Flora,3,,,4.4,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Maressa,2,,,4.1,
Calçola Camila,4,,,4.6,
Calçola Daivane,3,,,5.2,
Calçola Joelma,4,,,5.2,
Calçola Marcia,5,,,4.65,
Calçolinha Inf. Leticia,3,,,2.6,
Camisola Leia,1,,,15.2,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Juciara,1,,,15.7,
Conjunto M. Moça Helena,2,,,5.2,
Conjunto Paulina,1,,,16.3,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Francisco,2,,,4.95,
Cueca Box Inf. Ulisses,3,,,2.9,
Samba Canção Augusto,2,,,7.2,
Short Dool Liga Liso,1,,,13.9,
Short Dool Melina,1,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref. Macarena,2,,,10.15,
Soutien Soft Julia,2,,,10.7,
Tanga Benary,3,,,4.1,
Tanga Cos Mariah,4,,,5.5,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Fio Ticia,4,,,2.9,
Tanga Moliny,3,,,4.6,
Tanga Soninha Cotton,2,,,5.2,
