Artigo,Entregue,D,V,P.Unit,Soma
Callesson Sofia,4,,,4.2,
Callesson Vilary,3,,,4.8,
Calça Cema,4,,,5.7,
Calça Henriqueta,3,,,5.4,
Calçola Justine,4,,,2.9,
Calçolinha Inf. Agnes,4,,,2.3,
Calçolinha Inf. Magali,4,,,2.2,
Conj. M. Moça Liz,2,,,4.2,
Conjunto Callesson Thalia,2,,,13.6,
Conjunto Chick,2,,,13.8,
Conjunto Renda Francesa,2,,,8.8,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Antonio,3,,,5.1,
Samba Cancao Andre,2,,,7.5,
Short Dool Flora,2,,,10.9,
Short Dool Maria Rosa,2,,,14.2,
Soutien Bojo Audrey,2,,,12.3,
Soutien Bojo Sandy,2,,,10.5,
Soutien Ref. Rose,3,,,8.1,
Tanga Benary,4,,,4.1,
Tanga Cloe,4,,,3.2,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Monica,3,,,3.9,
Tanga Soninha Cotton,3,,,5.2,
Tanga Taieny,3,,,3.7,
