Artigo,Entregue,D,V,P.Unit,Soma
Calca Cinta Renda,4,,,7.5,
Calca Martha,3,,,5.1,
Calca Paquita,3,,,4.95,
Calcola Monara,3,,,4.0,
Calcola Sedir,4,,,4.65,
Callesson Vilary,4,,,4.8,
Calça Adrineia,4,,,5.2,
Calça Maressa,3,,,4.1,
Calçola Camila,4,,,4.6,
Calçola Daivane,3,,,5.2,
Calçola Joelma,3,,,5.2,
Calçola Marcia,4,,,4.65,
Calçolinha Inf. Leticia,4,,,2.6,
Camisola Yula,2,,,16.95,
Conjunto Callesson Thalia,3,,,17.95,
Conjunto Juciara,2,,,15.7,
Conjunto M Moça Tata,2,,,3.55,
Conjunto Paulina,2,,,16.3,
Conjunto Renda Natali,2,,,15.7,
Cueca Box Gael,3,,,5.3,
Cueca Box Inf. Micael,4,,,3.2,
Kit Tanga c/3,4,,,4.95,
Samba Canção Augusto,2,,,7.2,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Heloisa Plus,2,,,14.65,
Short Dool Melina,2,,,13.4,
Soutien Bojo Audrey,1,,,12.3,
Soutien Bojo Sandy,2,,,10.5,
Soutien Bojo Yara,2,,,9.3,
Soutien Ref Maravilha,2,,,8.35,
Soutien Ref. Isis,1,,,7.6,
Soutien Ref. Lisse,1,,,7.65,
Tanga Barbara,3,,,3.9,
Tanga Cos Duplo,4,,,6.3,
Tanga Cos Neria,3,,,5.45,
Tanga Fio Duplo Day,3,,,4.5,
Tanga Jamila,3,,,4.4,
Tanga Nanda,4,,,3.95,
Tanga Taieny,4,,,3.7,
Tanga Yasmim,4,,,3.85,
