Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Body Tasha,1,,,12.3,
Calca Martha,4,,,5.1,
Calcola Sedir,4,,,4.65,
Callesson Julia,4,,,4.8,
Callesson Sofia,4,,,4.2,
Calça Macarena,4,,,4.95,
Calçola Camila,4,,,4.6,
Calçolinha Inf. Lavinia,4,,,3.1,
Camisete Calleson Hanna,2,,,11.7,
Camisola Leia,1,,,15.2,
Camisola Yula,1,,,16.95,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Serena,2,,,14.2,
Conjunto Juciara,2,,,15.7,
Conjunto M. Moça Stefanie,1,,,5.25,
Conjunto Renda Mi,2,,,16.95,
Cueca Box Danton,2,,,5.5,
Cueca Box Francisco,2,,,4.95,
Cueca Box Inf. Ulisses,4,,,2.9,
Samba Cancao Andre,1,,,7.5,
Short Dool Cecilia Pluss,2,,,15.95,
Soutien Bojo Audrey,2,,,12.3,
Soutien Ref. Macarena,4,,,10.15,
Tanga Barbara,4,,,3.9,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Cinthia,4,,,4.65,
Tanga Jamila,4,,,4.4,
Tanga Moliny,4,,,4.6,
Tanga Nanda,4,,,3.95,
