Artigo,Entregue,D,V,P.Unit,Soma
Calessson Lamalu,4,,,3.85,
Callesson Julia,4,,,4.8,
Callesson Vilary,4,,,4.8,
Calça Analice,4,,,4.4,
Calça Laís,4,,,4.8,
Calça Megane,4,,,5.3,
Calçola Edineia,4,,,5.2,
Calçola Irene,4,,,4.55,
Calçola Joelma,3,,,5.2,
Calçola Vilma,3,,,4.65,
Calçolinha M. Moça Gloria,3,,,2.35,
Camisola Alice,2,,,14.9,
Conjunto Calesson Rachel,2,,,15.2,
Conjunto Cropped Renda,2,,,12.1,
Conjunto Fio Duplo Nanda,2,,,17.2,
Conjunto M Moça Tata,2,,,3.55,
Conjunto Renda Josiane,2,,,13.75,
Conjunto Renda Yasmim,2,,,16.75,
Cueca Box Celso,4,,,4.7,
Cueca Box Inf. Nathan,4,,,2.6,
Pijama Longo Joana,2,,,20.1,
Samba Cançao Toni,2,,,8.45,
Soutien Bojo Marcele,3,,,11.8,
Soutien Ref. Criz,2,,,7.2,
Tanga Cos Bia,4,,,4.7,
Tanga Gabi,4,,,4.4,
Tanga Judy,4,,,4.3,
Tanga Natasha,4,,,3.7,
Tanga Renda Hilary,3,,,4.6,
Tanga Renda Liz,3,,,3.7,
Tanga Rita,4,,,4.95,
Tanga Saionara,3,,,4.0,
Tanga Taieny,4,,,5.0,
Top Manu Ribana,2,,,11.7,
