Artigo,Entregue,D,V,P.Unit,Soma
Body Adara,1,,,13.1,
Calca Cinta Renda,3,,,7.5,
Calcola Sedir,3,,,4.65,
Callesson Julia,3,,,4.8,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calçola Camila,3,,,4.6,
Calçola Marcia,3,,,4.65,
Calçolinha M. Moça Gloria,3,,,2.7,
Camisola Lotus,1,,,13.5,
Conj. M. Moça Ciganinha,1,,,3.4,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Serena,1,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto Renda Francesa,1,,,8.8,
Conjunto Renda Mi,1,,,16.95,
Conjunto Renda Natali,1,,,15.7,
Cueca Box Alfredo,1,,,6.35,
Cueca Box Francisco,1,,,4.95,
Cueca Box Inf. Matheus,3,,,3.25,
Cueca Box Martim,1,,,6.85,
Cueca Box Yuri,1,,,4.7,
Samba Cançao Toni,2,,,9.95,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Melina,1,,,13.4,
Soutien Bojo Aressa,1,,,12.1,
Soutien Bojo Yara,1,,,9.3,
Soutien Ref. Rose,2,,,8.1,
Soutien Soft Cris,1,,,12.95,
Tanga Cora,3,,,4.35,
Tanga Cos Bia,2,,,4.7,
Tanga Cos Duplo,2,,,6.3,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Fio Wendy,3,,,3.7,
Tanga Tamares,4,,,3.2,
Top Rose,1,,,10.1,
