Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,2,,,12.3,
Calça Adrineia,4,,,5.2,
Calça Analice,4,,,4.4,
Calça Laís,4,,,4.8,
Calça Megane,4,,,5.3,
Calçola Carol,4,,,6.2,
Calçola Edineia,4,,,5.2,
Calçola Irene,4,,,4.55,
Calçola Su,4,,,4.7,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,2,,,14.9,
Camisola Lotus,3,,,13.5,
Camisola Martina,2,,,13.25,
Conjunto Calesson Rachel,2,,,15.2,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Cropped Renda,3,,,12.1,
Conjunto Dávila,3,,,12.7,
Conjunto Fio Atrative,2,,,15.9,
Conjunto Laiza,3,,,18.95,
Conjunto Ousadia,2,,,13.95,
Conjunto Renda Josiane,3,,,13.75,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,2,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref Maravilha,3,,,8.35,
Soutien Ref. Criz,3,,,7.2,
Tanga Cos Kira,3,,,3.95,
Tanga Eugenia,3,,,3.7,
Tanga Fio Agatha,4,,,4.9,
Tanga Fio Duplo Lua,4,,,4.8,
Tanga Fio Judy,4,,,4.3,
Tanga Fio Kessila,4,,,3.7,
Tanga Fio Pitty,4,,,3.95,
Tanga Gabi,4,,,4.4,
Tanga Jamila,3,,,4.4,
Tanga Natasha,4,,,3.7,
Tanga Rita,4,,,4.95,
Tanga Soninha Cotton,3,,,5.2,
Top Manu Ribana,3,,,11.7,
Top Rose,2,,,10.1,
