Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calcola Monara,4,,,4.0,
Calesson Débora,2,,,4.2,
Callesson Sofia,3,,,4.2,
Calça Adrineia,3,,,5.2,
Calçola Justine,3,,,2.9,
Calçolinha. Inf Ana Clara,4,,,2.95,
Camisola Yula,1,,,16.95,
Conj. M. Moça Ciganinha,1,,,3.4,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Bia,1,,,10.8,
Conjunto Luara,1,,,14.2,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto M. Moça Helena,1,,,5.2,
Conjunto M. Moça Tata,1,,,3.55,
Conjunto Meia Taca Samira,1,,,15.95,
Conjunto Renda Luiza,1,,,13.7,
Cueca Box Antonio,1,,,5.1,
Cueca Box Danton,1,,,5.5,
Cueca Box Francisco,1,,,4.95,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Martim,1,,,6.85,
Samba Cancao Andre,1,,,7.5,
Samba Cançao Toni,1,,,9.95,
Short Dool Heloisa Plus,1,,,14.65,
Short Dool Liga Liso,1,,,13.9,
Short Dool Melina,1,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref Cida,2,,,8.85,
Soutien Soft Julia,1,,,10.7,
Tanga Benary,2,,,4.1,
Tanga Cloe,4,,,3.2,
Tanga Cos Kira,3,,,3.95,
Tanga Cos Mariah,3,,,5.5,
Tanga Cos Neria,3,,,5.45,
Tanga Fio Duplo Aurea,3,,,4.2,
Tanga Fio Soraia,4,,,3.2,
Tanga Renda Hilary,3,,,4.6,
Tanga Soninha Cotton,2,,,5.2,
Tanga Yasmim,3,,,3.85,
Top Rose,1,,,10.1,
