Artigo,Entregue,D,V,P.Unit,Soma
Body Adara,1,,,13.1,
Calca Cinta Renda,3,,,7.5,
Calesson Débora,2,,,4.2,
Callesson Noemi,3,,,5.7,
Calça Veronica,2,,,4.75,
Calçola Edineia,3,,,5.2,
Calçola Joelma,3,,,5.2,
Calçola Vilma,3,,,4.65,
Calçolinha M. Moça Gloria,3,,,2.7,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,1,,,14.9,
Conj. M. Moça Ciganinha,1,,,3.4,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Serena,2,,,14.2,
Conjunto Fio Serena,2,,,14.2,
Conjunto M. Moça Tata,1,,,3.55,
Conjunto Meia Taca Samira,1,,,15.95,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Francesa,2,,,8.8,
Cueca Box Alfredo,1,,,6.35,
Cueca Box Antonio,1,,,5.1,
Cueca Box Danton,1,,,5.5,
Cueca Box Inf. Micael,4,,,3.2,
Cueca Box Martim,1,,,6.85,
Samba Cançao Toni,2,,,9.95,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,2,,,12.2,
Short Dool Layra Pluss,1,,,12.6,
Soutien Bojo Aressa,3,,,12.1,
Soutien Ref Cida,2,,,8.85,
Soutien Soft Cris,2,,,12.95,
Soutien Top Renda,1,,,7.85,
Tanga Cos Duplo,2,,,6.3,
Tanga Cos Mariah,3,,,5.5,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Jennifer,3,,,3.7,
Tanga Fio Soraia,4,,,3.2,
Tanga Fio Wendy,3,,,3.7,
Tanga Jamila,3,,,4.4,
Tanga Tamares,3,,,3.2,
Top Rose,1,,,10.1,
