Artigo,Entregue,D,V,P.Unit,Soma
Calca Cinta Renda,2,,,7.5,
Calesson Malu,4,,,4.8,
Calessson Lamalu,4,,,3.85,
Callesson Sofia,3,,,4.2,
Calça Analice,4,,,4.4,
Calça Henriqueta,3,,,5.4,
Calça Jucinha,4,,,4.8,
Calça Laís,4,,,4.8,
Calça Maressa,3,,,4.1,
Calça Megane,4,,,5.3,
Calçola Camila,4,,,4.6,
Calçola Carol,4,,,6.2,
Calçola Edineia,4,,,5.2,
Calçola Irene,4,,,4.55,
Calçola Su,4,,,4.7,
Calçolinha Inf. Grazi,4,,,2.6,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,2,,,14.9,
Camisola Leia,2,,,15.2,
Conj. M. Moça Liz,2,,,4.2,
Conjunto Calesson Rachel,2,,,15.2,
Conjunto Cropped Renda,2,,,12.1,
Conjunto Dávila,2,,,12.7,
Conjunto Fio Serena,2,,,14.2,
Conjunto M. Moca Stefanie,2,,,5.25,
Conjunto Ousadia,2,,,13.95,
Conjunto Renda Josiane,2,,,13.75,
Conjunto Romance,2,,,11.1,
Cueca Box Celso,3,,,4.7,
Cueca Box Francisco,3,,,4.95,
Cueca Box Inf. Micael,4,,,3.2,
Pijama Longo Vitória,2,,,20.1,
Sexy Ball 3 UN,6,,,2.45,
Short Dool Melina,3,,,13.4,
Soutien Bojo Marcele,2,,,11.8,
Soutien Bojo Yara,2,,,9.3,
Soutien Ref. Criz,2,,,7.2,
Soutien Ref. Sheila,2,,,7.9,
Tanga Barbara,4,,,3.9,
Tanga Cos Bia,4,,,4.7,
Tanga Cos Kira,3,,,3.95,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Judy,4,,,4.3,
Tanga Gabi,4,,,4.4,
Tanga Natasha,4,,,3.7,
Tanga Rita,4,,,4.95,
Tanga Taieny,4,,,5.0,
Top Manu Ribana,2,,,11.7,
