Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Body Tasha,1,,,12.3,
Calca Martha,4,,,5.1,
Calcola Sedir,4,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Callesson Julia,4,,,4.8,
Callesson Sofia,4,,,4.2,
Calça Adrineia,4,,,5.2,
Calçola Camila,4,,,4.6,
Camisete Calleson Hanna,2,,,11.7,
Camisola Yula,2,,,16.95,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Serena,1,,,14.2,
Conjunto Juciara,1,,,15.7,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Cueca Box Inf. Matheus,4,,,3.25,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Martim,2,,,6.85,
Kit Tanga c/3,1,,,4.95,
Samba Canção Augusto,1,,,7.2,
Short Dool Cecilia Pluss,2,,,15.95,
Soutien Ref Cida,2,,,8.85,
Tanga Cora,4,,,4.35,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Wendy,4,,,3.7,
Tanga Jamila,4,,,4.4,
Tanga Moliny,4,,,4.6,
Tanga Saionara,4,,,4.0,
Top Rose,2,,,10.1,
