Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,1,,,11.5,
Body Tasha,1,,,12.3,
Calcola Sedir,4,,,4.65,
Callesson Julia,4,,,4.8,
Callesson Vilary,3,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Veronica,4,,,4.75,
Calçola Camila,4,,,4.6,
Calçolinha Inf. Agnes,4,,,2.3,
Camisola Yula,1,,,16.95,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Serena,2,,,14.2,
Conjunto Juciara,2,,,15.7,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Cueca Box Danton,2,,,5.5,
Cueca Box Francisco,2,,,4.95,
Cueca Box Inf. Nathan,4,,,2.6,
Samba Canção Augusto,1,,,7.2,
Short Dool Cecilia Pluss,2,,,15.95,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref. Lisse,4,,,7.65,
Soutien Soft Cris,1,,,12.95,
Soutien Top Renda,2,,,7.85,
Tanga Barbara,3,,,3.9,
Tanga Cora,4,,,4.35,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Gaby,4,,,3.3,
Tanga Jamila,4,,,4.4,
Tanga Moliny,4,,,4.6,
Tanga Tamares,2,,,3.2,
Tanga Yasmim,4,,,3.85,
