Artigo,Entregue,D,V,P.Unit,Soma
Calca Paquita,3,,,4.95,
Callesson Vilary,7,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Macarena,3,,,4.95,
Conjunto Calesson Rachel,2,,,15.2,
Conjunto Laiza,1,,,18.95,
Conjunto Luara,1,,,14.2,
Conjunto Renda Francesa,1,,,8.8,
Conjunto Renda Natali,1,,,15.7,
Conjunto Renda Yasmim,1,,,16.75,
Soutien Bojo Aressa,2,,,12.1,
Soutien Bojo Marcele,2,,,11.8,
Soutien Soft Cris,1,,,12.95,
Soutien Soft Julia,2,,,10.7,
Tanga Barbara,3,,,3.9,
Tanga Cos Kira,3,,,3.95,
Tanga Eugenia,3,,,3.7,
Top Manu Ribana,2,,,11.7,
Top Rose,1,,,10.1,
