Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Body Anitta,2,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calca Martha,4,,,5.1,
Calcola Sedir,3,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Callesson Julia,3,,,4.8,
Calça Macarena,3,,,4.95,
Calçola Justine,3,,,2.9,
Calçola Marcia,3,,,4.65,
Camisola Yula,2,,,16.95,
Conj. M. Moça Ciganinha,2,,,3.4,
Conjunto Fio Atrative,2,,,15.9,
Conjunto Meia Taca Samira,2,,,15.95,
Conjunto Paulina,2,,,16.3,
Conjunto Renda Natali,3,,,15.7,
Cueca Box Inf. Rafael,4,,,2.95,
Cueca Box Martim,3,,,6.85,
Short Dool Heloisa Plus,2,,,14.65,
Soutien Ref. Lisse,2,,,7.65,
Soutien Soft Cris,3,,,12.95,
Tanga Cos Duplo,3,,,6.3,
Tanga Eugenia,3,,,3.7,
Tanga Fio Duplo Aurea,3,,,4.2,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Wendy,3,,,3.7,
Tanga Moliny,3,,,4.6,
Tanga Monica,3,,,3.9,
Tanga Saionara,3,,,4.0,
