Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Body Adara,2,,,13.1,
Calca Martha,4,,,5.1,
Calca Paquita,4,,,4.95,
Calcola Sedir,4,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Calcolinha Inf. Sarah,4,,,2.15,
Callesson Julia,4,,,4.8,
Callesson Noemi,4,,,5.7,
Callesson Vilary,3,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Macarena,4,,,4.95,
Calça Veronica,3,,,4.75,
Calçola Camila,4,,,4.6,
Calçola Joelma,3,,,5.2,
Calçola Marcia,4,,,4.65,
Calçola Vilma,1,,,4.65,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,2,,,14.9,
Camisola Leia,2,,,15.2,
Camisola Martina,3,,,13.25,
Camisola Yula,2,,,16.95,
Conjunto Callesson Thalia,3,,,17.95,
Conjunto Fio Bia,3,,,10.8,
Conjunto Fio Serena,3,,,14.2,
Conjunto Juciara,2,,,15.7,
Conjunto Laiza,3,,,18.95,
Conjunto M Moça Tata,1,,,3.55,
Conjunto M. Moca Stefanie,2,,,5.25,
Conjunto Renda Ana,2,,,15.4,
Conjunto Renda Luiza,2,,,13.7,
Conjunto Renda Mi,3,,,16.95,
Cueca Box Danton,4,,,5.5,
Cueca Box Francisco,5,,,4.95,
Cueca Box Inf. Matheus,4,,,3.25,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Inf. Ravi,4,,,3.15,
Cueca Box Martim,2,,,6.85,
Samba Canção Augusto,3,,,7.2,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,3,,,15.95,
Short Dool Kakau,3,,,12.2,
Short Dool Melina,3,,,13.4,
Soutien Bojo Sandy,3,,,10.5,
Soutien Ref Cida,2,,,8.85,
Soutien Ref Maravilha,3,,,8.35,
Soutien Ref. Macarena,2,,,10.15,
Soutien Top Renda,1,,,7.85,
Tanga Barbara,3,,,3.9,
Tanga Cora,3,,,4.35,
Tanga Cos Duplo,1,,,6.3,
Tanga Cos Kira,4,,,3.95,
Tanga Cos Neria,4,,,5.45,
Tanga Eugenia,4,,,3.7,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Duplo Luz,4,,,5.1,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Duplo Valentina,2,,,3.5,
Tanga Fio Gaby,3,,,3.3,
Tanga Fio Jennifer,4,,,3.7,
Tanga Jamila,3,,,4.4,
Tanga Moliny,4,,,4.6,
Tanga Nanda,4,,,3.95,
Tanga Viviane,4,,,3.45,
Top Rose,3,,,10.1,
