Artigo,Entregue,D,V,P.Unit,Soma
Calcola Monara,4,,,4.0,
Calça Cema,4,,,5.7,
Calça Veronica,4,,,4.75,
Calçola Edineia,3,,,5.2,
Calçolinha Inf. Magali,4,,,2.2,
Camisola Leia,2,,,15.2,
Camisola Lotus,3,,,13.5,
Conj. M. Moça Liz,3,,,4.2,
Conjunto Fio Atrative,3,,,15.9,
Conjunto Renda Francesa,3,,,8.8,
Conjunto Renda Natali,3,,,15.7,
Cueca Box Antonio,3,,,5.1,
Cueca Box Inf. Micael,4,,,3.2,
Samba Cançao Toni,2,,,9.95,
Soutien Bojo Aressa,4,,,12.1,
Soutien Ref. Macarena,3,,,10.15,
Soutien Soft Julia,3,,,10.7,
Tanga Fio Ticia,4,,,2.9,
Tanga Fio Wendy,3,,,3.7,
Tanga Lotus,4,,,3.55,
Tanga Soninha Cotton,3,,,5.2,
Tanga Viviane,4,,,3.45,
Tanga Yasmim,4,,,3.85,
