Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calcola Monara,3,,,4.0,
Calcolinha Inf. Livia,3,,,2.15,
Callesson Julia,3,,,4.8,
Callesson Sofia,3,,,4.2,
Calça Adrineia,3,,,5.2,
Calçola Joelma,3,,,5.2,
Calçola Justine,3,,,2.9,
Camisola Yula,1,,,16.95,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Serena,1,,,14.2,
Conjunto Luara,1,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Meia Taca Samira,1,,,15.95,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Luiza,1,,,13.7,
Cueca Box Alfredo,1,,,6.35,
Cueca Box Antonio,1,,,5.1,
Cueca Box Francisco,1,,,4.95,
Cueca Box Inf. Matheus,4,,,3.25,
Cueca Box Martim,1,,,6.85,
Samba Cançao Toni,2,,,9.95,
Short Dool Heloisa Plus,1,,,14.65,
Short Dool Liga Liso,1,,,13.9,
Short Dool Maria Rosa,1,,,14.2,
Soutien Bojo Aressa,1,,,12.1,
Soutien Bojo Sandy,1,,,10.5,
Soutien Ref Cida,2,,,8.85,
Soutien Soft Julia,1,,,10.7,
Soutien Top Renda,1,,,7.85,
Tanga Cloe,4,,,3.2,
Tanga Cora,3,,,4.35,
Tanga Cos Duplo,2,,,6.3,
Tanga Fio Duplo Tika,2,,,4.4,
Tanga Fio Pitty,4,,,3.95,
Tanga Moliny,2,,,4.6,
Tanga Renda Hilary,3,,,4.6,
Tanga Soninha Cotton,2,,,5.2,
Tanga Viviane,2,,,3.45,
