Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,1,,,11.5,
Calcola Monara,3,,,4.0,
Calcolinha Inf. Luna,4,,,2.0,
Calesson Débora,3,,,4.2,
Calesson Flora,1,,,4.4,
Callesson Sofia,4,,,4.2,
Calça Cema,3,,,5.7,
Calçola Daivane,4,,,5.2,
Calçolinha. Inf Ana Clara,4,,,2.95,
Camisola Leia,2,,,15.2,
Conjunto M. Moça Helena,2,,,5.2,
Conjunto Nadia,3,,,15.4,
Conjunto Renda Ana,3,,,15.4,
Conjunto Renda Yasmim,3,,,16.75,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Celso,4,,,4.7,
Cueca Box Gael,4,,,5.3,
Samba Cançao Toni,2,,,9.95,
Short Dool Kakau,3,,,12.2,
Short Dool Layra Pluss,2,,,12.6,
Short Dool Liga Liso,1,,,13.9,
Soutien Bojo Audrey,3,,,12.3,
Soutien Bojo Sandy,3,,,10.5,
Soutien Ref. Isis,3,,,7.6,
Soutien Ref. Macarena,3,,,10.15,
Soutien Ref. Rose,4,,,8.1,
Tanga Barbara,4,,,3.9,
Tanga Fio Duplo Day,1,,,4.5,
Tanga Fio Ticia,4,,,2.9,
Tanga Jade,4,,,3.2,
Tanga Renda Hilary,3,,,4.6,
Tanga Soninha Cotton,3,,,5.2,
Tanga Tamares,4,,,3.2,
