Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Calca Paquita,3,,,4.95,
Calcola Monara,3,,,4.0,
Calcola Sedir,3,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Callesson Julia,3,,,4.8,
Callesson Vilary,4,,,4.8,
Calça Adrineia,4,,,5.2,
Calça Henriqueta,2,,,5.4,
Calçola Daivane,3,,,5.2,
Calçola Marcia,4,,,4.65,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,2,,,14.9,
Camisola Leia,1,,,15.2,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Juciara,2,,,15.7,
Conjunto M. Moça Helena,2,,,5.2,
Conjunto Renda Ana,2,,,15.4,
Conjunto Renda Mi,2,,,16.95,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Danton,4,,,5.5,
Cueca Box Inf. Rafael,3,,,2.95,
Samba Cançao Toni,2,,,9.95,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,2,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Ref. Lisse,3,,,7.65,
Soutien Top Renda,2,,,7.85,
Tanga Cos Duplo,3,,,6.3,
Tanga Cos Kira,3,,,3.95,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Duplo Day,2,,,4.5,
Tanga Jade,3,,,3.2,
Tanga Jamila,3,,,4.4,
Tanga Moliny,3,,,4.6,
Tanga Monica,3,,,3.9,
Tanga Nanda,4,,,3.95,
Tanga Saionara,3,,,4.0,
Tanga Soninha Cotton,2,,,5.2,
