Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,2,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calca Martha,3,,,5.1,
Calcola Monara,3,,,4.0,
Calcolinha Inf. Livia,4,,,2.15,
Calesson Débora,3,,,4.2,
Calesson Flora,2,,,4.4,
Callesson Julia,3,,,4.8,
Callesson Vilary,4,,,4.8,
Calça Adrineia,6,,,5.2,
Calça Cema,3,,,5.7,
Calça Veronica,3,,,4.75,
Calçola Camila,3,,,4.6,
Calçola Joelma,4,,,5.2,
Calçola Justine,2,,,2.9,
Calçola Marcia,2,,,4.65,
Calçolinha Inf. Suede,4,,,2.0,
Camisola Martina,1,,,13.25,
Camisola Yula,1,,,16.95,
Conj. M. Moça Ciganinha,1,,,3.4,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Atrative,2,,,15.9,
Conjunto Fio Bia,1,,,10.8,
Conjunto Fio Serena,1,,,14.2,
Conjunto Luara,1,,,14.2,
Conjunto M. Moca Stefanie,2,,,5.25,
Conjunto M. Moça Helena,1,,,5.2,
Conjunto Meia Taca Samira,2,,,15.95,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Ana,2,,,15.4,
Conjunto Renda Luiza,2,,,13.7,
Cueca Box Antonio,2,,,5.1,
Cueca Box Celso,2,,,4.7,
Cueca Box Danton,2,,,5.5,
Cueca Box Inf. Rafael,6,,,2.95,
Cueca Box Martim,2,,,6.85,
Samba Cancao Andre,2,,,7.5,
Samba Cançao Toni,2,,,9.95,
Short Dool Cecilia Pluss,1,,,15.95,
Short Dool Flora,1,,,10.9,
Short Dool Heloisa Plus,3,,,14.65,
Short Dool Layra Pluss,1,,,12.6,
Soutien Bojo Aressa,2,,,12.1,
Soutien Bojo Yara,1,,,9.3,
Soutien Ref Cida,2,,,8.85,
Soutien Ref. Lisse,2,,,7.65,
Soutien Soft Julia,1,,,10.7,
Soutien Top Renda,1,,,7.85,
Tanga Cloe,3,,,3.2,
Tanga Cora,3,,,4.35,
Tanga Cos Duplo,4,,,6.3,
Tanga Cos Mariah,3,,,5.5,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Pitty,8,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Fio Wendy,2,,,3.7,
Tanga Lotus,4,,,3.55,
Tanga Moliny,3,,,4.6,
Tanga Renda Hilary,3,,,4.6,
Tanga Saionara,2,,,4.0,
Tanga Soninha Cotton,2,,,5.2,
Tanga Yasmim,4,,,3.85,
Top Rose,2,,,10.1,
