Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,3,,,11.5,
Calça Maressa,2,,,4.1,
Calça Veronica,4,,,4.75,
Calçola Daivane,2,,,5.2,
Camisola Martina,3,,,13.25,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Natali,3,,,15.7,
Conjunto Renda Yasmim,2,,,16.75,
Short Dool Heloisa Plus,3,,,14.65,
Soutien Bojo Aressa,3,,,12.1,
Soutien Ref Cida,3,,,8.85,
Soutien Ref Maravilha,3,,,8.35,
Soutien Soft Julia,3,,,10.7,
Tanga Barbara,1,,,3.9,
Tanga Lotus,4,,,3.55,
Tanga Tamares,1,,,3.2,
Tanga Viviane,4,,,3.45,
Tanga Yasmim,4,,,3.85,
Top Rose,3,,,10.1,
