Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calcola Monara,3,,,4.0,
Calesson Débora,3,,,4.2,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Cema,3,,,5.7,
Calçola Justine,2,,,2.9,
Calçola Marcia,2,,,4.65,
Calçolinha Inf. Suede,4,,,2.0,
Camisola Martina,1,,,13.25,
Conj. M. Moça Liz,1,,,4.2,
Conj. M. Moça Luna,1,,,4.3,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Bia,1,,,10.8,
Conjunto Fio Serena,1,,,14.2,
Conjunto Meia Taca Samira,1,,,15.95,
Conjunto Renda Luiza,1,,,13.7,
Cueca Box Antonio,1,,,5.1,
Cueca Box Celso,1,,,4.7,
Cueca Box Danton,1,,,5.5,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Martim,1,,,6.85,
Samba Cancao Andre,1,,,7.5,
Samba Cançao Toni,1,,,9.95,
Short Dool Cecilia Pluss,1,,,15.95,
Short Dool Heloisa Plus,1,,,14.65,
Short Dool Layra Pluss,1,,,12.6,
Soutien Bojo Aressa,1,,,12.1,
Soutien Ref. Lisse,2,,,7.65,
Soutien Soft Julia,1,,,10.7,
Tanga Cora,3,,,4.35,
Tanga Cos Duplo,2,,,6.3,
Tanga Fio Pitty,2,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Fio Wendy,2,,,3.7,
Tanga Moliny,3,,,4.6,
Tanga Saionara,2,,,4.0,
Tanga Yasmim,4,,,3.85,
Top Rose,1,,,10.1,
