Artigo,Entregue,D,V,P.Unit,Soma
Body Tasha,3,,,12.3,
Calcola Monara,3,,,4.0,
Calesson Débora,3,,,4.2,
Callesson Vilary,4,,,4.8,
Calça Cema,3,,,5.7,
Calça Henriqueta,3,,,5.4,
Calçola Edineia,3,,,5.2,
Calçolinha Inf. Grazi,4,,,3.1,
Calçolinha Inf. Leticia,3,,,2.6,
Camisola Lotus,1,,,13.5,
Conj. M. Moça Liz,2,,,4.2,
Conjunto Chick,2,,,13.8,
Conjunto Fio Atrative,3,,,15.9,
Conjunto Renda Ana,2,,,15.4,
Conjunto Renda Francesa,1,,,8.8,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Gael,4,,,5.3,
Cueca Box Inf. Micael,4,,,3.2,
Cueca Box Ulisses,4,,,3.3,
Cueca Box Yuri,3,,,4.7,
Samba Cancao Andre,2,,,7.5,
Short Dool Flora,1,,,10.9,
Short Dool Kakau,2,,,12.2,
Short Dool Layra Pluss,2,,,12.6,
Soutien Bojo Audrey,2,,,12.3,
Soutien Bojo Yara,2,,,9.3,
Soutien Ref. Macarena,3,,,10.15,
Soutien Soft Cris,2,,,12.95,
Tanga Cos Bia,4,,,4.7,
Tanga Cos Mariah,3,,,5.5,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Wendy,4,,,3.7,
Tanga Jade,4,,,3.2,
Tanga Monica,3,,,3.9,
Tanga Renda Liz,3,,,3.7,
Tanga Soninha Cotton,3,,,5.2,
