Artigo,Entregue,D,V,P.Unit,Soma
Calcolinha Inf. Luna,4,,,2.0,
Calesson Flora,4,,,4.4,
Callesson Sofia,4,,,4.2,
Calça Adrineia,3,,,5.2,
Calçola Daivane,4,,,5.2,
Calçola Justine,3,,,2.9,
Calçolinha M. Moça Gloria,3,,,2.7,
Camisola Alice,1,,,14.9,
Conj. M. Moça Luna,3,,,4.3,
Conjunto Callesson Thalia,2,,,13.6,
Conjunto Chick,2,,,13.8,
Conjunto M. Moça Helena,3,,,5.2,
Conjunto Nadia,2,,,15.4,
Cueca Box Alfredo,2,,,6.35,
Cueca Box Gael,4,,,5.3,
Cueca Box Inf. Nathan,4,,,2.6,
Samba Cancao Andre,2,,,7.5,
Short Dool Flora,2,,,10.9,
Short Dool Liga Liso,1,,,13.9,
Soutien Bojo Audrey,3,,,12.3,
Soutien Bojo Yara,3,,,9.3,
Soutien Ref. Isis,4,,,7.6,
Tanga Cloe,3,,,3.2,
Tanga Cos Bia,4,,,4.7,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Jade,4,,,3.2,
Tanga Renda Hilary,4,,,4.6,
Tanga Taieny,3,,,3.7,
Tanga Tamares,4,,,3.2,
