Artigo,Entregue,D,V,P.Unit,Soma
Calca Paquita,3,,,4.95,
Calcolinha Inf. Sarah,3,,,2.15,
Callesson Noemi,4,,,5.7,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Cema,3,,,5.7,
Calça Henriqueta,3,,,5.4,
Calça Maressa,3,,,4.1,
Calçolinha Inf. Grazi,4,,,3.1,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,3,,,14.9,
Camisola Leia,1,,,15.2,
Camisola Lotus,2,,,13.5,
Camisola Martina,2,,,13.25,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Bia,1,,,10.8,
Conjunto Fio Serena,1,,,14.2,
Conjunto Nadia,2,,,15.4,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Conjunto Renda Yasmim,2,,,16.75,
Cueca Box Gael,3,,,5.3,
Cueca Box Inf. Ravi,4,,,3.15,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,1,,,15.95,
Short Dool Kakau,3,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Bojo Audrey,2,,,12.3,
Soutien Bojo Sandy,2,,,10.5,
Soutien Ref. Macarena,2,,,10.15,
Tanga Barbara,3,,,3.9,
Tanga Cora,3,,,4.35,
Tanga Fio Cinthia,3,,,4.65,
Tanga Fio Duplo Tika,4,,,4.4,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Gaby,3,,,3.3,
Tanga Fio Jennifer,3,,,3.7,
Tanga Fio Soraia,4,,,3.2,
Tanga Jade,3,,,3.2,
Tanga Jamila,3,,,4.4,
Tanga Nanda,4,,,3.95,
Tanga Renda Liz,3,,,3.7,
Top Rose,1,,,10.1,
