Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Calcola Monara,4,,,4.0,
Calcolinha Inf. Luna,4,,,2.0,
Callesson Sofia,4,,,4.2,
Calça Adrineia,4,,,5.2,
Calçola Daivane,4,,,5.2,
Camisola Alice,2,,,14.9,
Camisola Leia,2,,,15.2,
Conj. M. Moça Liz,3,,,4.2,
Conjunto Nadia,2,,,15.4,
Conjunto Renda Ana,2,,,15.4,
Cueca Box Gael,3,,,5.3,
Cueca Box Inf. Nathan,4,,,2.6,
Samba Cancao Andre,2,,,7.5,
Short Dool Layra Pluss,2,,,12.6,
Soutien Bojo Sandy,3,,,10.5,
Soutien Bojo Yara,3,,,9.3,
Soutien Ref. Macarena,3,,,10.15,
Tanga Benary,3,,,4.1,
Tanga Fio Duplo Day,4,,,4.5,
Tanga Fio Ticia,4,,,2.9,
Tanga Jade,4,,,3.2,
Tanga Renda Hilary,3,,,4.6,
Tanga Renda Liz,3,,,3.7,
Tanga Tamares,4,,,3.2,
