Artigo,Entregue,D,V,P.Unit,Soma
Calcolinha Inf. Livia,4,,,2.15,
Calesson Malu,4,,,4.8,
Calessson Lamalu,4,,,3.85,
Calça Analice,4,,,4.4,
Calça Laís,4,,,4.8,
Calça Megane,4,,,5.3,
Calçola Carol,4,,,6.2,
Calçola Edineia,2,,,5.2,
Calçola Joelma,4,,,5.2,
Calçola Justine,2,,,2.9,
Camisola Yula,1,,,16.95,
Conjunto Calesson Rachel,1,,,15.2,
Conjunto Renda Josiane,1,,,13.75,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Mi,3,,,16.95,
Cueca Box Celso,3,,,4.7,
Pijama Longo Joana,1,,,20.1,
Short Dool Heloisa Plus,1,,,14.65,
Short Dool Liga Liso,1,,,13.9,
Short Dool Melina,1,,,13.4,
Soutien Ref. Lisse,2,,,7.65,
Soutien Ref. Macarena,2,,,10.15,
Tanga Fio Gaby,4,,,3.3,
Tanga Jade,4,,,3.2,
Tanga Jamila,2,,,4.4,
Tanga Tamares,4,,,3.2,
Tanga Yasmim,4,,,3.85,
