Artigo,Entregue,D,V,P.Unit,Soma
Biquini 10655,1,,,23.7,
Biquini 70238,2,,,29.4,
Biquini 70240,3,,,24.5,
Biquini 70242,5,,,13.5,
Biquini 70272,1,,,31.85,
Biquini 70284,1,,,31.25,
Biquini 70287,1,,,37.1,
Biquini 70288,1,,,31.25,
Biquini 70289,2,,,31.25,
Biquini 70290,3,,,37.1,
Biquini 802,1,,,23.7,
Biquini 807,1,,,23.7,
Biquini 809,1,,,22.5,
Biquini 811,1,,,25.8,
Biquini 812,2,,,23.7,
Biquini 830,1,,,29.3,
Biquini 841,1,,,27.2,
Fato de Banho 70285,1,,,41.3,
Fato de Banho 854,1,,,30.7,
