Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,1,,,11.5,
Body Adara,1,,,13.1,
Calcola Monara,4,,,4.0,
Calcola Sedir,2,,,4.65,
Calcolinha Inf. Luna,4,,,2.0,
Callesson Noemi,4,,,5.7,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Veronica,3,,,4.75,
Calçola Daivane,3,,,5.2,
Conj. M. Moça Ciganinha,1,,,3.4,
Conj. M. Moça Luna,2,,,4.3,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Serena,1,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto Renda Francesa,1,,,8.8,
Conjunto Renda Mi,1,,,16.95,
Conjunto Renda Natali,1,,,15.7,
Cueca Box Alfredo,1,,,6.35,
Cueca Box Danton,1,,,5.5,
Cueca Box Inf. Rafael,4,,,2.95,
Cueca Box Martim,2,,,6.85,
Samba Cancao Andre,1,,,7.5,
Samba Cançao Toni,1,,,9.95,
Short Box Bella,3,,,5.25,
Short Dool Cecilia Pluss,1,,,15.95,
Short Dool Heloisa Plus,1,,,14.65,
Soutien Bojo Yara,1,,,9.3,
Soutien Ref. Macarena,2,,,10.15,
Soutien Soft Julia,1,,,10.7,
Soutien Top Renda,2,,,7.85,
Tanga Cora,3,,,4.35,
Tanga Fio Jennifer,6,,,3.7,
Tanga Fio Soraia,4,,,3.2,
Tanga Saionara,3,,,4.0,
Tanga Soninha Cotton,4,,,5.2,
Tanga Yasmim,4,,,3.85,
