Artigo,Entregue,D,V,P.Unit,Soma
Body Adara,1,,,13.1,
Body Anitta,1,,,12.3,
Calca Paquita,3,,,4.95,
Calça Adrineia,3,,,5.2,
Calça Macarena,3,,,4.95,
Calça Veronica,3,,,4.75,
Calçola Joelma,3,,,5.2,
Calçolinha Inf. Agnes,3,,,2.3,
Camisola Alice,1,,,14.9,
Camisola Martina,2,,,13.25,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Bia,3,,,10.8,
Conjunto Fio Serena,1,,,14.2,
Conjunto Juciara,2,,,15.7,
Conjunto Paulina,2,,,16.3,
Cueca Box Danton,3,,,5.5,
Cueca Box Inf. Nathan,4,,,2.6,
Short Dool Flora,2,,,10.9,
Short Dool Kakau,2,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Ref. Macarena,2,,,10.15,
Soutien Soft Julia,2,,,10.7,
Tanga Barbara,3,,,3.9,
Tanga Cos Neria,4,,,5.45,
Tanga Eugenia,4,,,3.7,
Tanga Fio Cinthia,3,,,4.65,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Gaby,3,,,3.3,
Tanga Fio Jennifer,3,,,3.7,
Tanga Viviane,4,,,3.45,
Top Rose,2,,,10.1,
