Artigo,Entregue,D,V,P.Unit,Soma
Body Adara,1,,,13.1,
Body Anitta,1,,,12.3,
Calesson Débora,4,,,4.2,
Calesson Flora,4,,,4.4,
Calça Henriqueta,2,,,5.4,
Calça Macarena,4,,,4.95,
Calçola Daivane,4,,,5.2,
Calçola Joelma,4,,,5.2,
Calçolinha Inf. Suede,4,,,2.0,
Camisola Lotus,1,,,13.5,
Conjunto Chick,1,,,13.8,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Bia,2,,,10.8,
Conjunto Laiza,1,,,18.95,
Conjunto Luara,2,,,14.2,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Paulina,1,,,16.3,
Cueca Box Danton,2,,,5.5,
Cueca Box Francisco,2,,,4.95,
Cueca Box Inf. Ulisses,4,,,2.9,
Cueca Box Inf. Ulisses,4,,,2.9,
Kit Tanga c/3,1,,,4.95,
Samba Canção Augusto,1,,,7.2,
Short Dool Kakau,2,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Audrey,1,,,12.3,
Soutien Ref. Isis,4,,,7.6,
Soutien Soft Cris,1,,,12.95,
Tanga Benary,4,,,4.1,
Tanga Cos Bia,3,,,4.7,
Tanga Fio Duplo Tika,2,,,4.4,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Jamila,4,,,4.4,
Tanga Renda Liz,2,,,3.7,
Tanga Saionara,3,,,4.0,
Tanga Yasmim,4,,,3.85,
