Artigo,Entregue,D,V,P.Unit,Soma
Body Tasha,2,,,12.3,
Calca Cinta Renda,3,,,7.5,
Calcola Monara,3,,,4.0,
Calcolinha Inf. Luna,4,,,2.0,
Calcolinha Inf. Sarah,4,,,2.15,
Callesson Sofia,3,,,4.2,
Callesson Vilary,4,,,4.8,
Calça Adrineia,3,,,5.2,
Calça Adrineia,3,,,5.2,
Calça Cema,3,,,5.7,
Calçola Camila,3,,,4.6,
Calçola Marcia,2,,,4.65,
Camisete Calleson Hanna,2,,,11.7,
Camisola Yula,1,,,16.95,
Conj. M. Moça Ciganinha,1,,,3.4,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Laiza,1,,,18.95,
Conjunto Luara,2,,,14.2,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Luiza,1,,,13.7,
Cueca Box Gael,3,,,5.3,
Cueca Box Inf. Nathan,4,,,2.6,
Cueca Box Yago,3,,,5.35,
Samba Cançao Toni,2,,,9.95,
Short Dool Flora,1,,,10.9,
Short Dool Heloisa Plus,1,,,14.65,
Short Dool Maria Rosa,1,,,14.2,
Soutien Bojo Sandy,2,,,10.5,
Soutien Ref Cida,2,,,8.85,
Soutien Soft Cris,1,,,12.95,
Soutien Soft Julia,1,,,10.7,
Tanga Barbara,3,,,3.9,
Tanga Cora,3,,,4.35,
Tanga Eugenia,3,,,3.7,
Tanga Fio Cinthia,3,,,4.65,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Gaby,3,,,3.3,
Tanga Jamila,3,,,4.4,
Tanga Moliny,3,,,4.6,
Tanga Renda Hilary,3,,,4.6,
Tanga Yasmim,4,,,3.85,
