Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Calça Veronica,1,,,4.75,
Calçola Daivane,1,,,5.2,
Calçola Marcia,1,,,4.65,
Calçola Vilma,1,,,4.65,
Camisete Calleson Hanna,1,,,11.7,
Camisola Alice,1,,,14.9,
Camisola Leia,1,,,15.2,
Camisola Lotus,2,,,13.5,
Camisola Martina,1,,,13.25,
Camisola Yula,1,,,16.95,
Conjunto Fio Bia,1,,,10.8,
Conjunto Juciara,1,,,15.7,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Natali,1,,,15.7,
Short Dool Cecilia Pluss,1,,,15.95,
Short Dool Flora,2,,,10.9,
Short Dool Melina,2,,,13.4,
Tanga Cos Bia,1,,,4.7,
Tanga Soninha Cotton,1,,,5.2,
