Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Body Tasha,1,,,12.3,
Calca Martha,4,,,5.1,
Calcola Sedir,4,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Callesson Noemi,4,,,5.7,
Callesson Vilary,4,,,4.8,
Calça Adrineia,4,,,5.2,
Calçola Camila,4,,,4.6,
Camisete Calleson Hanna,2,,,11.7,
Camisola Alice,1,,,14.9,
Conjunto Callesson Thalia,1,,,17.95,
Conjunto Juciara,1,,,15.7,
Conjunto M. Moça Tata,1,,,3.55,
Conjunto Renda Luiza,1,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Cueca Box Inf. Matheus,4,,,3.25,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Martim,2,,,6.85,
Samba Canção Augusto,1,,,7.2,
Short Dool Cecilia Pluss,1,,,15.95,
Soutien Ref. Macarena,3,,,10.15,
Tanga Barbara,4,,,3.9,
Tanga Cora,4,,,4.35,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Tika,4,,,4.4,
Tanga Fio Gaby,4,,,3.3,
Tanga Moliny,4,,,4.6,
Top Rose,2,,,10.1,
