Artigo,Entregue,D,V,P.Unit,Soma
Body Tasha,2,,,12.3,
Calca Martha,4,,,5.1,
Calca Paquita,3,,,4.95,
Calcola Monara,4,,,4.0,
Callesson Noemi,3,,,5.7,
Callesson Vilary,4,,,4.8,
Calça Cema,3,,,5.7,
Calça Veronica,3,,,4.75,
Calçola Joelma,4,,,5.2,
Calçola Marcia,3,,,4.65,
Calçolinha Inf. Grazi,4,,,3.1,
Camisete Calleson Hanna,2,,,11.7,
Camisola Martina,2,,,13.25,
Conjunto Callessson Rachel,2,,,15.2,
Conjunto Cropped Renda,2,,,12.1,
Conjunto Fio Atrative,2,,,15.9,
Conjunto Fio Duplo Nanda,2,,,17.2,
Conjunto Fio Serena,3,,,14.2,
Conjunto Luara,2,,,14.2,
Conjunto M. Moça Helena,2,,,5.2,
Conjunto Renda Luiza,2,,,13.7,
Conjunto Renda Mi,3,,,16.95,
Conjunto Renda Natali,2,,,15.7,
Cueca Box Francisco,3,,,4.95,
Cueca Box Inf. Rafael,3,,,2.95,
Samba Cançao Toni,2,,,9.95,
Short Box Bella,3,,,5.25,
Short Dool Kakau,1,,,12.2,
Short Dool Liga Liso,1,,,13.9,
Short Dool Melina,2,,,13.4,
Soutien Bojo Marcele,3,,,11.8,
Soutien Ref Cida,2,,,8.85,
Soutien Soft Julia,2,,,10.7,
Soutien Top Renda,2,,,7.85,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Luz,3,,,5.1,
Tanga Fio Duplo Tika,4,,,4.4,
Tanga Fio Kessila,4,,,3.7,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Ticia,4,,,2.9,
Tanga Jade,3,,,3.2,
Tanga Jamila,3,,,4.4,
Tanga Nanda,4,,,3.95,
Tanga Soninha Cotton,3,,,5.2,
Tanga Yasmim,4,,,3.85,
Top Rose,2,,,10.1,
