Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Calcola Monara,3,,,4.0,
Calça Adrineia,3,,,5.2,
Calça Maressa,3,,,4.1,
Calça Veronica,4,,,4.75,
Calçola Daivane,4,,,5.2,
Calçola Vilma,3,,,4.65,
Calçolinha Inf. Lavinia,4,,,3.1,
Calçolinha. Inf Ana Clara,4,,,2.95,
Camisola Alice,3,,,14.9,
Camisola Leia,2,,,15.2,
Conj. M. Moça Ciganinha,3,,,3.4,
Conjunto Callesson Thalia,2,,,13.6,
Conjunto M. Moça Helena,3,,,5.2,
Conjunto Nadia,3,,,15.4,
Conjunto Renda Natali,3,,,15.7,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Yago,4,,,5.35,
Samba Cançao Toni,2,,,9.95,
Soutien Bojo Aressa,3,,,12.1,
Soutien Ref. Lisse,4,,,7.65,
Soutien Top Renda,3,,,7.85,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Ticia,3,,,2.9,
Tanga Saionara,3,,,4.0,
Tanga Tamares,4,,,3.2,
Top Rose,3,,,10.1,
