Artigo,Entregue,D,V,P.Unit,Soma
Calca Martha,4,,,5.1,
Calesson Débora,3,,,4.2,
Callesson Julia,3,,,4.8,
Calça Veronica,4,,,4.75,
Calçola Joelma,4,,,5.2,
Calçola Marcia,4,,,4.65,
Calçolinha Inf. Magali,3,,,2.2,
Camisola Lotus,2,,,13.5,
Conjunto Fio Bia,2,,,10.8,
Conjunto Fio Serena,1,,,14.2,
Conjunto Juciara,2,,,15.7,
Conjunto Luara,2,,,14.2,
Conjunto M. Moca Stefanie,1,,,5.25,
Conjunto Renda Luiza,2,,,13.7,
Cueca Box Danton,2,,,5.5,
Cueca Box Francisco,3,,,4.95,
Cueca Box Inf. Nathan,4,,,2.6,
Samba Canção Augusto,1,,,7.2,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,1,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Audrey,2,,,12.3,
Soutien Ref. Lisse,3,,,7.65,
Tanga Barbara,4,,,3.9,
Tanga Cora,4,,,4.35,
Tanga Cos Neria,4,,,5.45,
Tanga Eugenia,4,,,3.7,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Gaby,4,,,3.3,
Tanga Jamila,4,,,4.4,
