Artigo,Entregue,D,V,P.Unit,Soma
Calca Paquita,3,,,4.95,
Calesson Débora,4,,,4.2,
Calessson Lamalu,4,,,3.85,
Calça Jucinha,4,,,4.8,
Calça Laís,4,,,4.8,
Calça Veronica,3,,,4.75,
Calçola Edineia,3,,,5.2,
Calçola Irene,4,,,4.55,
Calçola Marcia,3,,,4.65,
Calçolinha Inf. Magali,4,,,2.2,
Camisete Calleson Hanna,2,,,11.7,
Camisola Lotus,2,,,13.5,
Conjunto Calesson Rachel,2,,,15.2,
Conjunto Fio Duplo Nanda,2,,,17.2,
Conjunto Fio Serena,2,,,14.2,
Conjunto M. Moça Tata,2,,,3.55,
Conjunto Renda Mi,2,,,16.95,
Cueca Box Gael,3,,,5.3,
Cueca Box Inf. Ravi,4,,,3.15,
Pijama Longo Vitória,2,,,20.1,
Sexy Ball 3 UN,4,,,2.45,
Short Box Bella,3,,,5.25,
Short Dool Heloisa Plus,1,,,14.65,
Soutien Ref Cida,3,,,8.85,
Soutien Soft Cris,2,,,12.95,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Jennifer,3,,,3.7,
Tanga Fio Judy,4,,,4.3,
Tanga Jamila,4,,,4.4,
Tanga Taieny,4,,,5.0,
Tanga Tamares,4,,,3.2,
Top Rose,2,,,10.1,
