Artigo,Entregue,D,V,P.Unit,Soma
Calca Cinta Renda,1,,,7.5,
Calça Cema,1,,,5.7,
Calça Macarena,1,,,4.95,
Camisete Calleson Hanna,2,,,11.7,
Conjunto Calesson Rachel,1,,,15.2,
Conjunto Cropped Renda,2,,,12.1,
Conjunto Fio Atrative,1,,,15.9,
Conjunto Fio Duplo Nanda,5,,,17.2,
Conjunto Fio Serena,4,,,14.2,
Conjunto Laiza,1,,,18.95,
Conjunto Nadia,1,,,15.4,
Conjunto Paulina,1,,,16.3,
Conjunto Renda Ana,1,,,15.4,
Conjunto Renda Luiza,6,,,13.7,
Conjunto Renda Mi,2,,,16.95,
Cueca Box Celso,1,,,4.7,
Cueca Box Gael,1,,,5.3,
Cueca Box Martim,1,,,6.85,
Soutien Bojo Aressa,2,,,12.1,
Soutien Bojo Yara,2,,,9.3,
Tanga Cos Neria,1,,,5.45,
