Artigo,Entregue,D,V,P.Unit,Soma
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Duplo Nanda,3,,,17.2,
Conjunto Fio Serena,1,,,14.2,
Conjunto Laiza,1,,,18.95,
Conjunto Laiza,1,,,18.95,
Conjunto Nadia,1,,,15.4,
Conjunto Ousadia,2,,,13.95,
Conjunto Renda Luiza,2,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Conjunto Romance,1,,,11.1,
Soutien Bojo Marcele,2,,,11.8,
Tanga Cos Bia,3,,,4.7,
Tanga Fio Agatha,8,,,4.9,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Duplo Lua,4,,,4.8,
Tanga Fio Duplo Tika,6,,,4.4,
Tanga Fio Kessila,4,,,3.7,
Tanga Fio Pitty,4,,,3.95,
Tanga Fio Soraia,4,,,3.2,
Tanga Renda Liz,2,,,3.7,
