Artigo,Entregue,D,V,P.Unit,Soma
Calcolinha Inf. Luna,1,,,2.0,
Calcolinha Inf. Sarah,1,,,2.15,
Callesson Julia,3,,,4.8,
Calçolinha Inf. Lavinia,1,,,3.1,
Calçolinha M. Moça Gloria,1,,,2.7,
Calçolinha. Inf Ana Clara,2,,,2.95,
Conj. M. Moça Ciganinha,2,,,3.4,
Conjunto Fio Serena,1,,,14.2,
Conjunto Laiza,1,,,18.95,
Conjunto Meia Taca Samira,7,,,15.95,
Conjunto Nadia,1,,,15.4,
Conjunto Paulina,1,,,16.3,
Conjunto Renda Luiza,2,,,13.7,
Conjunto Renda Mi,1,,,16.95,
Kit Tanga c/3,14,,,4.95,
Tanga Barbara,2,,,3.9,
Tanga Cora,2,,,4.35,
Tanga Fio Jennifer,2,,,3.7,
Tanga Fio Pitty,4,,,3.95,
Tanga Moliny,8,,,4.6,
Top Rose,3,,,10.1,
