Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,2,,,11.5,
Body Anitta,1,,,12.3,
Body Tasha,1,,,12.3,
Callesson Julia,4,,,4.8,
Calça Cema,4,,,5.7,
Calça Maressa,3,,,4.1,
Calçola Camila,4,,,4.6,
Calçola Justine,3,,,2.9,
Calçola Vilma,4,,,4.65,
Calçolinha Inf. Magali,3,,,2.2,
Camisola Leia,1,,,15.2,
Camisola Martina,1,,,13.25,
Conjunto Juciara,1,,,15.7,
Conjunto M. Moça Tata,1,,,3.55,
Conjunto Paulina,2,,,16.3,
Conjunto Renda Luiza,2,,,13.7,
Conjunto Renda Mi,2,,,16.95,
Conjunto Renda Natali,2,,,15.7,
Cueca Box Francisco,3,,,4.95,
Cueca Box Inf. Rafael,4,,,2.95,
Samba Cancao Andre,2,,,7.5,
Short Dool Heloisa Plus,2,,,14.65,
Short Dool Melina,2,,,13.4,
Soutien Bojo Audrey,3,,,12.3,
Soutien Ref. Lisse,3,,,7.65,
Soutien Top Renda,3,,,7.85,
Tanga Barbara,4,,,3.9,
Tanga Cora,4,,,4.35,
Tanga Cos Bia,4,,,4.7,
Tanga Cos Neria,4,,,5.45,
Tanga Eugenia,4,,,3.7,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Gaby,3,,,3.3,
Tanga Jamila,4,,,4.4,
Tanga Lotus,4,,,3.55,
