Artigo,Entregue,D,V,P.Unit,Soma
Baby Dool Kell,1,,,11.5,
Calca Paquita,3,,,4.95,
Calessson Lamalu,4,,,3.85,
Calça Cema,3,,,5.7,
Calça Veronica,4,,,4.75,
Calçola Carol,4,,,6.2,
Calçola Edineia,4,,,5.2,
Calçola Irene,4,,,4.55,
Calçolinha Inf. Grazi,5,,,2.6,
Camisola Alice,1,,,14.9,
Camisola Martina,1,,,13.25,
Conjunto Fio Bia,2,,,10.8,
Conjunto Laiza,2,,,18.95,
Conjunto Luara,2,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto M. Moça Helena,1,,,5.2,
Cueca Box Alfredo,1,,,6.35,
Cueca Box Inf. Rafael,3,,,2.95,
Cueca Box Yuri,2,,,4.7,
Pijama Longo Joana,1,,,20.1,
Short Dool Flora,1,,,10.9,
Soutien Ref Cida,1,,,8.85,
Soutien Ref. Rose,1,,,8.1,
Soutien Soft Cris,1,,,12.95,
Soutien Soft Julia,1,,,10.7,
Tanga Cloe,3,,,3.2,
Tanga Cos Mariah,3,,,5.5,
Tanga Eugenia,3,,,3.7,
Tanga Fio Duplo Day,2,,,4.5,
Tanga Fio Wendy,3,,,3.7,
Tanga Monica,4,,,3.9,
Tanga Renda Hilary,4,,,4.6,
Tanga Yasmim,4,,,3.85,
Top Manu Ribana,1,,,11.7,
