Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,2,,,12.3,
Body Tasha,1,,,12.3,
Calesson Débora,3,,,4.2,
Callesson Julia,4,,,4.8,
Calça Henriqueta,3,,,5.4,
Calça Macarena,4,,,4.95,
Calçola Marcia,4,,,4.65,
Calçolinha Inf. Suede,4,,,2.0,
Camisola Leia,1,,,15.2,
Camisola Lotus,1,,,13.5,
Conjunto Chick,2,,,13.8,
Conjunto Fio Atrative,2,,,15.9,
Conjunto Fio Bia,1,,,10.8,
Conjunto Luara,2,,,14.2,
Conjunto M. Moça Stefanie,1,,,5.25,
Conjunto Renda Ana,1,,,15.4,
Cueca Box Danton,2,,,5.5,
Cueca Box Francisco,2,,,4.95,
Cueca Box Inf. Nathan,4,,,2.6,
Samba Canção Augusto,1,,,7.2,
Short Dool Kakau,1,,,12.2,
Short Dool Melina,2,,,13.4,
Soutien Bojo Aressa,2,,,12.1,
Soutien Bojo Audrey,2,,,12.3,
Soutien Ref. Rose,3,,,8.1,
Soutien Soft Cris,2,,,12.95,
Tanga Cos Bia,4,,,4.7,
Tanga Eugenia,4,,,3.7,
Tanga Fio Duplo Tika,3,,,4.4,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Gaby,3,,,3.3,
Tanga Jamila,4,,,4.4,
Tanga Lotus,4,,,3.55,
Tanga Saionara,3,,,4.0,
Tanga Viviane,4,,,3.45,
Tanga Yasmim,4,,,3.85,
