Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,1,,,12.3,
Body Tasha,1,,,12.3,
Calca Martha,4,,,5.1,
Calcola Sedir,4,,,4.65,
Calcolinha Inf. Livia,4,,,2.15,
Calesson Débora,3,,,4.2,
Callesson Julia,4,,,4.8,
Calça Veronica,4,,,4.75,
Calçola Camila,4,,,4.6,
Camisete Calleson Hanna,2,,,11.7,
Camisola Yula,1,,,16.95,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Serena,2,,,14.2,
Conjunto M Moça Tata,1,,,3.55,
Conjunto Renda Mi,2,,,16.95,
Cueca Box Inf. Matheus,4,,,3.25,
Cueca Box Inf. Nathan,4,,,2.6,
Cueca Box Martim,2,,,6.85,
Samba Canção Augusto,1,,,7.2,
Short Dool Cecilia Pluss,2,,,15.95,
Soutien Ref Cida,2,,,8.85,
Tanga Barbara,4,,,3.9,
Tanga Cos Neria,4,,,5.45,
Tanga Fio Cinthia,4,,,4.65,
Tanga Fio Duplo Valentina,3,,,3.5,
Tanga Fio Gaby,4,,,3.3,
Tanga Jamila,4,,,4.4,
Top Rose,2,,,10.1,
