Artigo,Entregue,D,V,P.Unit,Soma
Body Anitta,3,,,12.3,
Body Tasha,1,,,12.3,
Calesson Débora,1,,,4.2,
Callesson Julia,2,,,4.8,
Callesson Noemi,2,,,5.7,
Conj. M. Moça Luna,2,,,4.3,
Conjunto M Moça Tata,2,,,3.55,
Conjunto M. Moca Stefanie,2,,,5.25,
Soutien Bojo Audrey,1,,,12.3,
Soutien Bojo Yara,1,,,9.3,
Soutien Soft Cris,3,,,12.95,
Tanga Barbara,2,,,3.9,
Tanga Eugenia,3,,,3.7,
Tanga Fio Gaby,2,,,3.3,
Tanga Fio Jennifer,2,,,3.7,
Tanga Fio Pitty,3,,,3.95,
Tanga Moliny,3,,,4.6,
Tanga Renda Liz,2,,,3.7,
Tanga Tamares,1,,,3.2,
Top Rose,2,,,10.1,
