Artigo,Entregue,D,V,P.Unit,Soma
Calca Cinta Renda,4,,,7.5,
Calca Martha,3,,,5.1,
Calcolinha Inf. Luna,4,,,2.0,
Calesson Flora,2,,,4.4,
Calça Maressa,3,,,4.1,
Calçola Daivane,3,,,5.2,
Calçola Justine,3,,,2.9,
Calçola Vilma,3,,,4.65,
Camisola Alice,2,,,14.9,
Conj. M. Moça Luna,2,,,4.3,
Conjunto Callesson Thalia,2,,,17.95,
Conjunto Fio Serena,2,,,14.2,
Conjunto Nadia,2,,,15.4,
Conjunto Renda Ana,2,,,15.4,
Cueca Box Inf. Nathan,4,,,2.6,
Cueca Box Yago,2,,,5.35,
Samba Canção Augusto,2,,,7.2,
Short Dool Cecilia Pluss,2,,,15.95,
Short Dool Kakau,2,,,12.2,
Soutien Bojo Sandy,2,,,10.5,
Soutien Ref. Isis,1,,,7.6,
Soutien Ref. Macarena,2,,,10.15,
Tanga Barbara,3,,,3.9,
Tanga Cloe,4,,,3.2,
Tanga Fio Duplo Aurea,4,,,4.2,
Tanga Fio Jennifer,4,,,3.7,
Tanga Nanda,4,,,3.95,
Tanga Renda Hilary,4,,,4.6,
Tanga Taieny,3,,,3.7,
